policy_start_dt,policy_end_dt,renewal_dt,policy_key,policy_year_key,policy_num,status_cd,policy_type_cd,total_amt,premium_amt,deductible_amt,coverage_limit_amt,insured_id,agent_id,underwriter_id,term_months,cancel_dt,last_upd_dt,created_dt
2024-01-15,2025-01-15,2025-01-15,PK001,PY001,PN-2024-001,ACTIVE,AUTO,50000,1200,500,100000,1001,AG001,UW001,12,,2024-01-15 10:00:00,2024-01-15 10:00:00
2024-02-01,2025-02-01,2025-02-01,PK002,PY002,PN-2024-002,ACTIVE,HOME,75000,1800,1000,250000,1002,AG002,UW002,12,,2024-02-01 11:30:00,2024-02-01 11:30:00
2024-02-15,2025-02-15,2025-02-15,PK003,PY003,PN-2024-003,ACTIVE,LIFE,200000,3500,0,500000,1003,AG001,UW001,12,,2024-02-15 14:20:00,2024-02-15 14:20:00
2024-03-01,2025-03-01,2025-03-01,PK004,PY004,PN-2024-004,ACTIVE,AUTO,45000,1100,750,90000,1004,AG003,UW003,12,,2024-03-01 09:15:00,2024-03-01 09:15:00
2024-03-10,2025-03-10,2025-03-10,PK005,PY005,PN-2024-005,CANCELLED,HOME,60000,1500,500,200000,1005,AG002,UW002,12,2024-06-15,2024-06-15 16:45:00,2024-03-10 13:00:00
2024-04-01,2025-04-01,2025-04-01,PK006,PY006,PN-2024-006,ACTIVE,AUTO,55000,1300,500,110000,1001,AG001,UW001,12,,2024-04-01 10:30:00,2024-04-01 10:30:00
2024-04-15,2025-04-15,2025-04-15,PK007,PY007,PN-2024-007,ACTIVE,HOME,85000,2000,1000,300000,1006,AG004,UW004,12,,2024-04-15 15:20:00,2024-04-15 15:20:00
2024-05-01,2025-05-01,2025-05-01,PK008,PY008,PN-2024-008,ACTIVE,LIFE,300000,5000,0,750000,1007,AG003,UW003,12,,2024-05-01 11:00:00,2024-05-01 11:00:00
2024-05-20,2025-05-20,2025-05-20,PK009,PY009,PN-2024-009,ACTIVE,AUTO,48000,1150,500,95000,1008,AG005,UW005,12,,2024-05-20 14:45:00,2024-05-20 14:45:00
2024-06-01,2025-06-01,2025-06-01,PK010,PY010,PN-2024-010,ACTIVE,HOME,70000,1700,750,225000,1009,AG002,UW002,12,,2024-06-01 09:30:00,2024-06-01 09:30:00
2024-06-15,2025-06-15,2025-06-15,PK011,PY011,PN-2024-011,ACTIVE,AUTO,52000,1250,500,105000,1010,AG001,UW001,12,,2024-06-15 16:00:00,2024-06-15 16:00:00
2024-07-01,2025-07-01,2025-07-01,PK012,PY012,PN-2024-012,ACTIVE,LIFE,250000,4200,0,600000,1011,AG004,UW004,12,,2024-07-01 10:15:00,2024-07-01 10:15:00
